currency_id,currency_name,currency_code,date,buying,selling
01hccadrasnh4xq05xxqfaah9a,SAUDI RIYAL,SAR,2023-10-11,14.7486,14.8961
01hccadrarzxbt9gfyk2cxb5vn,AUSTRALIAN DOLLAR,AUD,2023-10-11,35.3673,35.721
01hccadraq98pvxp1nsh044w6t,CANADIAN DOLLAR,CAD,2023-10-11,40.6569,41.0635
01hccadrasnh4xq05xxqfaah9b,UAE DIRHAM,AED,2023-10-11,15.0593,15.2099
01hccadramc36zh3208fscxd5h,INDIAN RUPEE,INR,2023-10-12,0.6651,0.6718
01hccadrabmb0fb757f4d09v9g,US DOLLAR,USD,2023-10-12,55.3351,55.8885
01hccadrae4tmhz5kqtkhq2rr3,POUND STERLING,GBP,2023-10-12,68.0234,68.7037
01hccadraf1dnr88nrw8n2yh3d,SWISS FRANC,CHF,2023-10-12,61.2928,61.9057
01hccadragtwvf1xa9qcfadn41,SWIDISH KNRONER,SEK,2023-10-12,5.0688,5.1195
01hccadrayy2a6t7cdx0tt1czv,NORWEGIAN KRONE,NOK,2023-10-12,5.1072,5.1583
01hccadrahmapvgqe52mex068a,DANISH KNRONER,DKK,2023-10-12,7.8676,7.9463
01hccadrak2aacqe0k4b7dvfqp,DJIBOUTI FRANC,DJF,2023-10-12,0.3099,0.3192
01hccadrapzdjbbxb2pgdgfkbp,JAPANESE YEN,JPY,2023-10-12,0.3722,0.3759
01hccadrasnh4xq05xxqfaah9a,SAUDI RIYAL,SAR,2023-10-12,14.7517,14.8992
01hccadraq98pvxp1nsh044w6t,CANADIAN DOLLAR,CAD,2023-10-12,40.6816,41.0884
01hccadrarzxbt9gfyk2cxb5vn,AUSTRALIAN DOLLAR,AUD,2023-10-12,35.5141,35.8692
01hccadrasnh4xq05xxqfaah9b,UAE DIRHAM,AED,2023-10-12,15.0645,15.2152
01hccadratqj2hq49k86vr0nyy,EURO,EUR,2023-10-12,58.6607,59.2473
01hccadravryrxerw8h7rrjeqs,SDR,XDR,2023-10-12,72.7159,73.443
01hccadraw6qj2h560vdnzvv06,SOUTH AFRICAN RAND,ZAR,2023-10-12,2.9269,2.9562
01hccadraw6qj2h560vdnzvv07,CHINESE YUAN,CNY,2023-10-12,7.5762,7.652
01hccadraxrgm2gyc039fnt6dd,KUWAITI DINAR,KWD,2023-10-12,178.9924,180.7824
01hccadranckd8vetw7ca8ef28,KENYAN SHILLING,KES,2023-10-12,0.371,0.3821
01hccadrahmapvgqe52mex068a,DANISH KNRONER,DKK,2023-10-13,7.8852,7.964
01hccadrak2aacqe0k4b7dvfqp,DJIBOUTI FRANC,DJF,2023-10-13,0.31,0.3193
01hccadrayy2a6t7cdx0tt1czv,NORWEGIAN KRONE,NOK,2023-10-13,5.108,5.1591
01hccadramc36zh3208fscxd5h,INDIAN RUPEE,INR,2023-10-13,0.6651,0.6717
01hccadraf1dnr88nrw8n2yh3d,SWISS FRANC,CHF,2023-10-13,61.4156,62.0298
01hccadrae4tmhz5kqtkhq2rr3,POUND STERLING,GBP,2023-10-13,68.124,68.8053
01hccadrabmb0fb757f4d09v9g,US DOLLAR,USD,2023-10-13,55.3539,55.9074
01hccadragtwvf1xa9qcfadn41,SWIDISH KNRONER,SEK,2023-10-13,5.0907,5.1416
01hccadranckd8vetw7ca8ef28,KENYAN SHILLING,KES,2023-10-13,0.3708,0.3819
01hccadraxrgm2gyc039fnt6dd,KUWAITI DINAR,KWD,2023-10-13,179.0588,180.8494
01hccadraq98pvxp1nsh044w6t,CANADIAN DOLLAR,CAD,2023-10-13,40.7343,41.1417
01hccadraw6qj2h560vdnzvv07,CHINESE YUAN,CNY,2023-10-13,7.5821,7.6579
01hccadraw6qj2h560vdnzvv06,SOUTH AFRICAN RAND,ZAR,2023-10-13,2.9394,2.9688
01hccadravryrxerw8h7rrjeqs,SDR,XDR,2023-10-13,72.7848,73.5127
01hccadrapzdjbbxb2pgdgfkbp,JAPANESE YEN,JPY,2023-10-13,0.3712,0.3749
01hccadrasnh4xq05xxqfaah9b,UAE DIRHAM,AED,2023-10-13,15.0697,15.2204
01hccadrasnh4xq05xxqfaah9a,SAUDI RIYAL,SAR,2023-10-13,14.7571,14.9047
